epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,928.561,1.33151,0.5498,0.81616,0.98949,0.97479,0.99253,0.6369,1.02166,0.4818,0.82254,0.0017228,0.0017228,0.0017228
44,949.934,1.31326,0.54624,0.8121,0.9989,0.96639,0.99402,0.65185,0.98012,0.44523,0.81296,0.0017162,0.0017162,0.0017162
45,971.252,1.33679,0.56799,0.81071,0.98274,0.95718,0.99204,0.69206,1.02756,0.42804,0.82521,0.0017096,0.0017096,0.0017096
46,992.625,1.3482,0.57218,0.82358,0.98791,0.95798,0.99336,0.64823,1.04757,0.45767,0.82072,0.001703,0.001703,0.001703
47,1013.93,1.32702,0.54232,0.81251,0.98281,0.96085,0.99136,0.68589,0.99073,0.43443,0.82532,0.0016964,0.0016964,0.0016964
48,1035.56,1.34329,0.56697,0.81342,0.97454,0.96488,0.99211,0.66586,1.01524,0.49045,0.81861,0.0016898,0.0016898,0.0016898
49,1056.85,1.30724,0.55887,0.81503,0.98229,0.95798,0.9928,0.66426,0.97283,0.43207,0.81536,0.0016832,0.0016832,0.0016832
50,1078.2,1.31984,0.57925,0.79732,0.99471,0.97479,0.989,0.67568,0.94797,0.42211,0.81492,0.0016766,0.0016766,0.0016766
51,1099.7,1.32785,0.55022,0.81921,0.9871,0.98319,0.99399,0.65339,1.02832,0.45887,0.81688,0.00167,0.00167,0.00167
52,1121.15,1.27959,0.56609,0.80368,0.97566,0.98319,0.99391,0.63502,1.00423,0.46966,0.81232,0.0016634,0.0016634,0.0016634
53,1142.46,1.30665,0.54839,0.80766,0.9964,0.95798,0.98841,0.66901,0.98374,0.44529,0.81221,0.0016568,0.0016568,0.0016568
54,1163.88,1.25889,0.55396,0.7887,1,0.98069,0.995,0.68128,0.98541,0.44551,0.80928,0.0016502,0.0016502,0.0016502
55,1185.16,1.34157,0.536,0.81071,0.96671,0.97596,0.9931,0.65223,1.0036,0.47214,0.81556,0.0016436,0.0016436,0.0016436
56,1206.57,1.34197,0.57598,0.81163,0.9699,0.95798,0.99318,0.6721,1.05325,0.48044,0.81586,0.001637,0.001637,0.001637
57,1227.71,1.35339,0.58259,0.81275,0.9679,0.94958,0.99202,0.6381,1.04632,0.48434,0.82249,0.0016304,0.0016304,0.0016304
58,1249.14,1.3023,0.54372,0.8124,0.98905,0.94118,0.98953,0.69218,0.99712,0.45826,0.81898,0.0016238,0.0016238,0.0016238
59,1270.54,1.34803,0.55529,0.80962,0.95223,0.94118,0.9893,0.68535,1.02945,0.45581,0.81799,0.0016172,0.0016172,0.0016172
60,1291.97,1.25982,0.52452,0.80181,0.99093,0.95798,0.98206,0.68372,1.01796,0.44685,0.8184,0.0016106,0.0016106,0.0016106
61,1313.35,1.31963,0.53902,0.79868,0.9883,0.98319,0.99403,0.71553,0.88637,0.4281,0.8128,0.001604,0.001604,0.001604
62,1334.79,1.3396,0.55827,0.81036,1,0.97442,0.99405,0.65728,1.03658,0.46991,0.81905,0.0015974,0.0015974,0.0015974
63,1356.07,1.26032,0.52406,0.79889,1,0.9807,0.9946,0.68024,0.95318,0.4637,0.82254,0.0015908,0.0015908,0.0015908
64,1377.33,1.32155,0.52411,0.82083,0.97514,0.94958,0.9868,0.69184,1.0073,0.44407,0.82134,0.0015842,0.0015842,0.0015842
65,1398.94,1.31172,0.55553,0.82137,0.97452,0.9641,0.99352,0.66516,0.96377,0.43744,0.81717,0.0015776,0.0015776,0.0015776
